iter	Accuracy	Logloss
0	0.8493723849	0.6650495415
1	0.8637552301	0.6477083622
2	0.8553870293	0.6328829435
3	0.8760460251	0.6056322887
4	0.8875523013	0.5843300719
5	0.8880753138	0.5595501143
6	0.8935669456	0.5395519474
7	0.8919979079	0.5226863045
8	0.8998430962	0.5029100011
9	0.907165272	0.4855639769
10	0.9063807531	0.4724163771
11	0.9103033473	0.4600724367
12	0.9069037657	0.4505176206
13	0.9108263598	0.4374599275
14	0.9108263598	0.4237009047
15	0.9097803347	0.4108609207
16	0.9105648536	0.4002146763
17	0.9121338912	0.3891396255
18	0.9108263598	0.3790930725
19	0.9118723849	0.3689156762
20	0.9152719665	0.3545370161
21	0.9157949791	0.3454612983
22	0.9178870293	0.34107099
23	0.9181485356	0.3332517954
24	0.9202405858	0.3280072419
25	0.9218096234	0.3227691648
26	0.9246861925	0.3144229616
27	0.9239016736	0.3099452325
28	0.9273012552	0.3008770497
29	0.927039749	0.2992269584
30	0.9273012552	0.2935054162
31	0.9275627615	0.2893244241
32	0.9265167364	0.2846057024
33	0.9288702929	0.2780467984
34	0.9296548117	0.2731212493
35	0.9307008368	0.2665968632
36	0.9301778243	0.2642346888
37	0.9301778243	0.2608011785
38	0.9307008368	0.2575425547
39	0.9307008368	0.2518175211
40	0.9309623431	0.2475180134
41	0.9317468619	0.2445231669
42	0.9330543933	0.2408097756
43	0.932792887	0.2373177866
44	0.9325313808	0.2349819765
45	0.932792887	0.2331631296
46	0.9335774059	0.2293782868
47	0.9348849372	0.2266542175
48	0.9367154812	0.2224162548
49	0.9377615063	0.2192369789
50	0.9380230126	0.217237342
51	0.9377615063	0.2156715903
52	0.9393305439	0.2143767568
53	0.9416841004	0.2118393746
54	0.9416841004	0.209093941
55	0.9424686192	0.2068454757
56	0.942207113	0.2059445167
57	0.9437761506	0.2027425394
58	0.9440376569	0.1991617061
59	0.9437761506	0.198260547
60	0.9437761506	0.1959170026
61	0.9437761506	0.1941607034
62	0.9437761506	0.1929347864
63	0.9432531381	0.1915866454
64	0.945083682	0.1897784032
65	0.945083682	0.1878491151
66	0.9469142259	0.1856535257
67	0.9487447699	0.1843437034
68	0.9484832636	0.1824349876
69	0.9492677824	0.1799753486
70	0.9510983264	0.1787335614
71	0.9531903766	0.1763478216
72	0.9531903766	0.1746402461
73	0.9547594142	0.1730025877
74	0.9547594142	0.1708976088
75	0.9560669456	0.168753953
76	0.9565899582	0.1675135753
77	0.9563284519	0.1664314219
78	0.9578974895	0.1650237056
79	0.9578974895	0.1639768863
80	0.9581589958	0.1627992313
81	0.9578974895	0.1625844479
82	0.9578974895	0.1623494664
83	0.9581589958	0.1612101688
84	0.9592050209	0.1602711157
85	0.960251046	0.1590691815
86	0.960251046	0.1578250432
87	0.9592050209	0.1569005691
88	0.9612970711	0.155440497
89	0.96208159	0.1538056159
90	0.9618200837	0.1531080187
91	0.9623430962	0.1523147712
92	0.9628661088	0.1517218602
93	0.9631276151	0.1507315066
94	0.9631276151	0.1501394449
95	0.9639121339	0.1489598297
96	0.9652196653	0.145524781
97	0.9654811715	0.1453235881
98	0.9657426778	0.1442541826
99	0.9657426778	0.1434730442
100	0.9673117155	0.1426726985
101	0.9675732218	0.1415182831
102	0.9675732218	0.1402768936
103	0.9686192469	0.1386766934
104	0.9691422594	0.1377729491
105	0.9707112971	0.1368519739
106	0.9714958159	0.1361577143
107	0.9701882845	0.1355729212
108	0.9714958159	0.1346799121
109	0.9720188285	0.1334219232
110	0.9720188285	0.132834016
111	0.9722803347	0.1321433155
112	0.9722803347	0.131107774
113	0.9722803347	0.1306122651
114	0.9735878661	0.1299877347
115	0.9738493724	0.1294375399
116	0.9746338912	0.127824421
117	0.9743723849	0.1273955104
118	0.9748953975	0.1268371592
119	0.9751569038	0.1266718469
120	0.9751569038	0.1260382802
121	0.9748953975	0.1256865458
122	0.9748953975	0.1255959416
123	0.9751569038	0.1243241538
124	0.9751569038	0.1237737812
125	0.9756799163	0.1227479156
126	0.9756799163	0.1211608531
127	0.9759414226	0.1205755759
128	0.9762029289	0.12016823
129	0.9759414226	0.1198068651
130	0.9764644351	0.1193056938
131	0.9767259414	0.1189718392
132	0.9780334728	0.1181448244
133	0.9782949791	0.1174299678
134	0.9782949791	0.1170212446
135	0.9785564854	0.116715049
136	0.9785564854	0.1162049267
137	0.9788179916	0.1158351653
138	0.9788179916	0.115139576
139	0.9788179916	0.1147846679
140	0.9788179916	0.1140535565
141	0.9793410042	0.113553533
142	0.9790794979	0.1131007962
143	0.9796025105	0.112479808
144	0.9798640167	0.1123844065
145	0.9798640167	0.1119104251
146	0.9793410042	0.1113661558
147	0.9793410042	0.1109610054
148	0.9796025105	0.1109224782
149	0.9796025105	0.1103955219
150	0.9798640167	0.1093723679
151	0.9798640167	0.1091545069
152	0.9798640167	0.108810786
153	0.9803870293	0.1082761189
