iter	Passed	Remaining
0	11	11677
1	20	10331
2	23	7888
3	31	7835
4	37	7492
5	45	7527
6	52	7496
7	59	7410
8	66	7356
9	71	7058
10	76	6912
11	82	6803
12	87	6612
13	91	6467
14	96	6328
15	101	6254
16	106	6136
17	110	6020
18	114	5919
19	118	5818
20	122	5721
21	126	5639
22	131	5569
23	135	5495
24	139	5426
25	143	5363
26	147	5311
27	151	5259
28	155	5209
29	157	5082
30	161	5038
31	165	4997
32	169	4954
33	173	4916
34	177	4894
35	182	4888
36	186	4860
37	190	4832
38	195	4810
39	199	4782
40	203	4752
41	207	4725
42	211	4705
43	215	4678
44	219	4651
45	223	4633
46	227	4615
47	231	4596
48	235	4578
49	239	4556
50	244	4542
51	248	4524
52	252	4511
53	256	4491
54	260	4474
55	264	4457
56	269	4451
57	273	4446
58	279	4454
59	283	4444
60	288	4436
61	292	4430
62	297	4422
63	301	4406
64	305	4390
65	309	4380
66	313	4369
67	318	4365
68	322	4357
69	327	4345
70	331	4331
71	334	4317
72	339	4306
73	343	4293
74	347	4280
75	351	4268
76	355	4257
77	359	4249
78	363	4237
79	367	4225
80	372	4224
81	373	4184
82	374	4142
83	378	4131
84	382	4120
85	387	4115
86	391	4106
87	395	4095
88	399	4085
89	403	4079
90	407	4074
91	411	4064
92	414	4043
93	418	4037
94	423	4029
95	427	4021
96	431	4013
97	432	3979
98	435	3959
99	439	3952
100	443	3948
101	448	3946
102	452	3940
103	456	3933
104	460	3927
105	465	3926
106	470	3930
107	475	3924
108	479	3916
109	483	3913
110	487	3907
111	492	3902
112	496	3896
113	501	3894
114	506	3895
115	510	3892
116	515	3887
117	519	3883
118	523	3877
119	525	3852
120	529	3847
121	534	3844
122	535	3819
123	539	3813
124	543	3806
125	548	3803
126	552	3797
127	556	3790
128	560	3783
129	563	3769
130	567	3763
131	571	3759
132	575	3751
133	579	3747
134	584	3745
135	588	3739
136	592	3733
137	596	3727
138	600	3721
139	604	3714
140	608	3708
141	613	3705
142	617	3698
143	621	3692
144	622	3670
145	626	3664
146	630	3658
147	634	3652
148	635	3630
149	640	3627
150	644	3623
151	648	3617
152	652	3612
153	656	3606
154	660	3601
155	664	3595
156	668	3591
157	672	3586
158	677	3581
159	681	3575
160	685	3569
161	689	3564
162	693	3559
163	697	3553
164	698	3533
165	702	3528
166	706	3522
167	710	3518
168	714	3512
169	718	3508
170	723	3508
171	727	3503
172	731	3499
173	736	3494
174	740	3492
175	745	3489
176	749	3484
177	753	3479
178	757	3474
179	761	3469
180	765	3463
181	769	3458
182	773	3453
183	777	3449
184	782	3447
185	786	3443
186	791	3441
187	795	3437
188	800	3433
189	804	3430
190	809	3429
191	813	3425
192	818	3422
193	823	3420
194	827	3415
195	831	3410
196	835	3405
197	839	3402
198	844	3397
199	848	3395
200	853	3390
201	858	3392
202	862	3387
203	864	3372
204	868	3367
205	873	3365
206	877	3362
207	882	3359
208	887	3359
209	892	3357
210	897	3354
211	901	3350
212	905	3345
213	909	3340
214	913	3334
215	917	3331
216	921	3326
217	925	3320
218	929	3315
219	934	3312
220	938	3307
221	942	3302
222	946	3296
223	950	3293
224	954	3287
225	958	3282
226	962	3278
227	967	3275
228	971	3270
229	975	3265
230	980	3262
231	984	3258
232	988	3255
233	993	3251
234	994	3238
235	999	3235
236	1003	3230
237	1007	3226
238	1010	3216
239	1014	3212
240	1018	3208
241	1023	3204
242	1027	3199
243	1031	3194
244	1035	3189
245	1039	3185
246	1043	3179
247	1047	3175
248	1051	3171
249	1055	3166
250	1059	3162
251	1063	3157
252	1068	3153
253	1072	3149
254	1076	3144
255	1080	3140
256	1084	3135
257	1088	3130
258	1092	3126
259	1096	3122
260	1101	3118
261	1105	3113
262	1110	3110
263	1114	3106
264	1118	3102
265	1122	3097
266	1126	3092
267	1131	3089
268	1135	3086
269	1139	3082
270	1144	3078
271	1148	3073
272	1152	3068
273	1156	3064
274	1161	3061
275	1165	3056
276	1168	3051
277	1172	3046
278	1177	3042
279	1181	3037
280	1185	3032
281	1189	3027
282	1193	3024
283	1198	3020
284	1202	3016
285	1206	3011
286	1210	3007
287	1214	3003
288	1218	2998
289	1222	2993
290	1226	2989
291	1230	2984
292	1234	2979
293	1239	2975
294	1243	2971
